regionID,longitude,latitude
1,-87.70836394042969,42.018437312765045
1,-87.70836394042969,41.99637039845389
1,-87.69390106201172,41.962457902645575
1,-87.67557661743164,41.962457902645575
1,-87.67557661743164,41.99853916268283
1,-87.65583555908203,41.99853916268283
1,-87.6637919189453,42.018437312765045
1,-87.70836394042969,42.018437312765045
2,-87.64617919921875,41.95553281227975
2,-87.65750885009764,41.997553126923714
2,-87.67330169677733,41.997553126923714
2,-87.67175674438477,41.96380892405161
2,-87.64617919921875,41.95553281227975
3,-87.81904220581055,42.00143731276504
3,-87.81904220581055,41.97580631113838
3,-87.70134243774415,41.9652579403
3,-87.71364212036133,41.991991251768816
3,-87.81904220581055,42.00143731276504
4,-87.80582427978514,41.95297959371308
4,-87.80582427978514,41.924631999219756
4,-87.74803107299803,41.91645737974553
4,-87.74803107299803,41.96599993904339
4,-87.80582427978514,41.95297959371308
5,-87.74448123168945,41.9602347975243
5,-87.73029327392578,41.93331638494887
5,-87.67501831054688,41.93508259751714
5,-87.67501831054688,41.9602347975243
5,-87.74448123168945,41.9602347975243
6,-87.67278671264648,41.95987304910737
6,-87.67278671264648,41.93357179016101
6,-87.63742446899414,41.93357179016101
6,-87.64686584472656,41.95361790794357
6,-87.66592025756836,41.95361790794357
6,-87.66592025756836,41.95987304910737
6,-87.67278671264648,41.95987304910737
7,-87.67810821533203,41.931656226140916
7,-87.65493392944336,41.91174193238466
7,-87.63264791870117,41.91174193238466
7,-87.64102935791016,41.931656226140916
7,-87.67810821533203,41.931656226140916
8,-87.65287399291992,41.91019797889927
8,-87.63690948486328,41.88898809959183
8,-87.61558015136719,41.88911589103985
8,-87.62866973876953,41.91019797889927
8,-87.65287399291992,41.91019797889927
9,-87.74110794067383,41.93114539935305
9,-87.74110794067383,41.91505226156054
9,-87.66643524169922,41.91505226156054
9,-87.68463134765625,41.93114539935305
9,-87.74110794067383,41.93114539935305
10,-87.69939422607422,41.91313614145382
10,-87.68978118896484,41.8900382134212
10,-87.65060427856445,41.8900382134212
10,-87.6634870300293,41.91313614145382
10,-87.69939422607422,41.91313614145382
11,-87.77403858642578,41.912497421968425
11,-87.77403858642578,41.871094773768085
11,-87.69218607788085,41.871094773768085
11,-87.69218607788085,41.89255502378826
11,-87.70746231079102,41.89255502378826
11,-87.70746231079102,41.912497421968425
11,-87.77403858642578,41.912497421968425
12,-87.68806457519531,41.88802678750417
12,-87.68806457519531,41.86020067518375
12,-87.63959440551758,41.86020067518375
12,-87.63959440551758,41.88802678750417
12,-87.68806457519531,41.88802678750417
13,-87.63610867004395,41.886623911692304
13,-87.63364791870117,41.867962926630334
13,-87.62017250061035,41.867962926630334
13,-87.61776924133301,41.886623911692304
13,-87.63610867004395,41.886623911692304
14,-87.63064384460449,41.86660106788285
14,-87.6280689239502,41.84603570059349
14,-87.61081695556639,41.84603570059349
14,-87.61751174926758,41.86660106788285
14,-87.63064384460449,41.86660106788285
15,-87.68566131591797,41.85733221723925
15,-87.68566131591797,41.824220759325385
15,-87.63157462768555,41.824220759325385
15,-87.63157462768555,41.85677650576472
15,-87.68566131591797,41.85733221723925
16,-87.73818969726562,41.86799900978502
16,-87.73818969726562,41.82301361663085
16,-87.69164112548828,41.83752312552774
16,-87.69164112548828,41.86799900978502
16,-87.73818969726562,41.86799900978502
17,-87.62832641601562,41.84450115262933
17,-87.62832641601562,41.8027642590364354
17,-87.58575439453125,41.802742590364354
17,-87.61390686035156,41.84450115262933
17,-87.62832641601562,41.84450115262933
18,-87.67760658569336,41.822501920711105
18,-87.67760658569336,41.75829188678789
18,-87.63628440551758,41.75829188678789
18,-87.63187462768555,41.822501920711105
18,-87.67760658569336,41.822501920711105
19,-87.73664311523436,41.818140605526826
19,-87.73664311523436,41.7591479892674
19,-87.68016815185547,41.7591479892674
19,-87.68909454345702,41.833246676287196
19,-87.73664311523436,41.818140605526826
20,-87.79948779296875,41.79871564094145
20,-87.79948779296875,41.77507241289806
20,-87.73884800415039,41.77507241289806
20,-87.73884800415039,41.81349069491423
20,-87.75225176086426,41.81349069491423
20,-87.75225176086426,41.79871564094145
20,-87.79948779296875,41.79871564094145
21,-87.62506484985352,41.80169886731471
21,-87.63420622558592,41.75223286358825
21,-87.55228042602538,41.75223286358825
21,-87.56858825683594,41.77297600540535
21,-87.58451270141602,41.77297600540535
21,-87.58451270141602,41.80169886731471
21,-87.62506484985352,41.80169886731471
22,-87.63856616210938,41.7502557253812
22,-87.60832053222655,41.7246930304541
22,-87.54404067993164,41.7246930304541
22,-87.54404067993164,41.7502557253812
22,-87.63856616210938,41.7502557253812
23,-87.62334823608397,41.72174620951271
23,-87.64034271240234,41.6856046362462
23,-87.60927200317383,41.65149503156203
23,-87.55022048950195,41.65149503156203
23,-87.52584457397461,41.693936942282164
23,-87.53396055297852,41.72174620951271
23,-87.62334823608397,41.72174620951271
24,-87.73887634277344,41.75194866809371
24,-87.73887634277344,41.73613847851158
24,-87.68171310424805,41.73613847851158
24,-87.68171310424805,41.705728515237524
24,-87.71947860717773,41.705728515237524
24,-87.71947860717773,41.68682757188991
24,-87.64606584472656,41.68682757188991
24,-87.64125932617186,41.75194866809371
24,-87.73887634277344,41.75194866809371
25,-87.9033949054243,41.97863979251512